shannon entropy value: 11/3
shannon entropy solution:
x0: 0
x1: 1
x2: 1
x3: 2
x4: 1
x5: 4/3
x6: 2
x7: 7/3
x8: 1
x9: 2
x10: 2
x11: 8/3
x12: 2
x13: 7/3
x14: 3
x15: 3
x16: 1
x17: 2
x18: 4/3
x19: 7/3
x20: 2
x21: 7/3
x22: 7/3
x23: 8/3
x24: 2
x25: 3
x26: 7/3
x27: 3
x28: 3
x29: 10/3
x30: 10/3
x31: 10/3
x32: 1
x33: 2
x34: 2
x35: 3
x36: 5/3
x37: 2
x38: 8/3
x39: 3
x40: 2
x41: 3
x42: 3
x43: 11/3
x44: 8/3
x45: 3
x46: 11/3
x47: 11/3
x48: 5/3
x49: 8/3
x50: 2
x51: 3
x52: 7/3
x53: 8/3
x54: 8/3
x55: 3
x56: 8/3
x57: 11/3
x58: 3
x59: 11/3
x60: 10/3
x61: 11/3
x62: 11/3
x63: 11/3
x64: 1
x65: 2
x66: 2
x67: 3
x68: 2
x69: 7/3
x70: 3
x71: 10/3
x72: 4/3
x73: 7/3
x74: 7/3
x75: 3
x76: 7/3
x77: 8/3
x78: 10/3
x79: 10/3
x80: 2
x81: 3
x82: 7/3
x83: 10/3
x84: 3
x85: 10/3
x86: 10/3
x87: 11/3
x88: 7/3
x89: 10/3
x90: 8/3
x91: 10/3
x92: 10/3
x93: 11/3
x94: 11/3
x95: 11/3
x96: 5/3
x97: 8/3
x98: 8/3
x99: 11/3
x100: 7/3
x101: 8/3
x102: 10/3
x103: 11/3
x104: 2
x105: 3
x106: 3
x107: 11/3
x108: 8/3
x109: 3
x110: 11/3
x111: 11/3
x112: 7/3
x113: 10/3
x114: 8/3
x115: 11/3
x116: 3
x117: 10/3
x118: 10/3
x119: 11/3
x120: 8/3
x121: 11/3
x122: 3
x123: 11/3
x124: 10/3
x125: 11/3
x126: 11/3
x127: 11/3
